,returns,divergent,cummret,results
2007-11-16,0.0016695298043724912,-1.0,1.2047898877695695,NONE
2007-11-19,0.002041176815820443,-1.0,1.2072490769564197,NONE
2007-11-20,-0.00040266175899390366,-1.0,1.2067629639195485,NONE
2007-11-21,5.8672605189107714e-05,-1.0,1.2068337678464875,NONE
2007-11-23,-0.0003224809265103333,-1.0,1.2064445869748885,NONE
2007-11-26,-0.0012738952166270676,-1.0,1.2049077029864157,NONE
2007-11-27,0.00021332765339301057,-1.0,1.2051647431192491,NONE
2007-11-28,7.628552542198353e-05,-1.0,1.205256679744898,NONE
2007-11-29,0.0017743602018511963,-1.0,1.2073952392304528,NONE
2007-11-30,-0.00025080972625234413,-1.0,1.207092412761023,NONE
2007-12-03,-0.0002634269210277536,-1.0,1.2067744321233334,NONE
2007-12-04,0.0001718084329953764,-1.0,1.2069817661474953,NONE
2007-12-05,-0.00032693473400342176,-1.0,1.2065871618848327,NONE
2007-12-06,-0.0003766820750001343,-1.0,1.2061326621290254,NONE
2007-12-07,-0.0006222650499911819,-1.0,1.2053821279277297,NONE
2007-12-10,-0.0002683100540348143,-1.0,1.2050587117838527,NONE
2007-12-11,-0.00030178062131801936,-1.0,1.204695048417086,NONE
2007-12-12,0.0,0.0,1.204695048417086,NONE
2007-12-13,0.0,-1.0,1.204695048417086,LOSE
2007-12-14,-0.00043306050676549836,-1.0,1.2041733425689205,NONE
2007-12-17,0.0002505876222270338,0.0,1.204475093503584,NONE
2007-12-18,0.0,-1.0,1.204475093503584,LOSE
2007-12-19,-0.00036402326765971394,-1.0,1.204036636544232,NONE
2007-12-20,-3.969879170902615e-05,0.0,1.2039888377445878,NONE
2007-12-21,0.0,0.0,1.2039888377445878,NONE
2007-12-24,0.0,-1.0,1.2039888377445878,WIN
2007-12-26,-0.00031793064483902345,-1.0,1.2036060527970247,NONE
2007-12-27,0.0013018606938401524,0.0,1.2051729802080293,NONE
2007-12-28,0.0,0.0,1.2051729802080293,NONE
2007-12-31,0.0,0.0,1.2051729802080293,NONE
2008-01-02,0.0,0.0,1.2051729802080293,NONE
2008-01-03,0.0,0.0,1.2051729802080293,NONE
2008-01-04,0.0,1.0,1.2051729802080293,WIN
2008-01-07,0.00024820956859070175,1.0,1.205472115673524,NONE
2008-01-08,0.0005961778063462024,0.0,1.2061907913950576,NONE
2008-01-09,0.0,0.0,1.2061907913950576,NONE
2008-01-10,0.0,0.0,1.2061907913950576,NONE
2008-01-11,0.0,-1.0,1.2061907913950576,WIN
2008-01-14,-2.36777347874563e-05,-1.0,1.2061622315293958,NONE
2008-01-15,0.0011037131079847922,-1.0,1.2074934885946909,NONE
2008-01-16,9.600418733482692e-05,-1.0,1.2076094130257755,NONE
2008-01-17,0.002533800085893425,-1.0,1.210669253860226,NONE
2008-01-18,0.000785614997253138,-1.0,1.2116203737827718,NONE
2008-01-22,-0.0008737245932764861,-1.0,1.2105617512644828,NONE
2008-01-23,0.0007280366047399938,-1.0,1.2114430845317015,NONE
2008-01-24,0.0008529700949610509,-1.0,1.2124764092545544,NONE
2008-01-25,0.0009104633091821688,-1.0,1.2135803245384296,NONE
2008-01-28,0.0019812577299660565,-1.0,1.215984739937356,NONE
2008-01-29,0.00016109052590838153,-1.0,1.216180623558609,NONE
2008-01-30,0.000649641815710764,-1.0,1.2169707053471297,NONE
2008-01-31,0.0004031878180699314,-1.0,1.2174613731104735,NONE
2008-02-01,-0.0015756601155017588,-1.0,1.2155430677826993,NONE
2008-02-04,0.0009275984071806295,-1.0,1.216670603596234,NONE
2008-02-05,0.002095743547314623,-1.0,1.2192204331629282,NONE
2008-02-06,0.001607586594543619,0.0,1.2211804355870743,NONE
2008-02-07,0.0,0.0,1.2211804355870743,NONE
2008-02-08,0.0,0.0,1.2211804355870743,NONE
2008-02-11,0.0,0.0,1.2211804355870743,NONE
2008-02-12,0.0,0.0,1.2211804355870743,NONE
2008-02-13,0.0,0.0,1.2211804355870743,NONE
2008-02-14,0.0,0.0,1.2211804355870743,NONE
2008-02-15,0.0,0.0,1.2211804355870743,NONE
2008-02-19,0.0,0.0,1.2211804355870743,NONE
2008-02-20,0.0,0.0,1.2211804355870743,NONE
2008-02-21,0.0,0.0,1.2211804355870743,NONE
2008-02-22,0.0,0.0,1.2211804355870743,NONE
2008-02-25,0.0,0.0,1.2211804355870743,NONE
2008-02-26,0.0,0.0,1.2211804355870743,NONE
2008-02-27,0.0,0.0,1.2211804355870743,NONE
2008-02-28,0.0,0.0,1.2211804355870743,NONE
2008-02-29,0.0,0.0,1.2211804355870743,NONE
2008-03-03,0.0,0.0,1.2211804355870743,NONE
2008-03-04,0.0,0.0,1.2211804355870743,NONE
2008-03-05,0.0,0.0,1.2211804355870743,NONE
2008-03-06,0.0,0.0,1.2211804355870743,NONE
2008-03-07,0.0,0.0,1.2211804355870743,NONE
2008-03-10,0.0,0.0,1.2211804355870743,NONE
2008-03-11,0.0,0.0,1.2211804355870743,NONE
2008-03-12,0.0,0.0,1.2211804355870743,NONE
2008-03-13,0.0,0.0,1.2211804355870743,NONE
2008-03-14,0.0,0.0,1.2211804355870743,NONE
2008-03-17,0.0,-1.0,1.2211804355870743,WIN
2008-03-18,0.0005558984344819325,-1.0,1.2218592878794372,NONE
2008-03-19,0.0011190583568334543,-1.0,1.2232266197264132,NONE
2008-03-20,-0.0016565698125141845,-1.0,1.2212002594343108,NONE
2008-03-24,-0.0002528391551514242,-1.0,1.2208914921924447,NONE
2008-03-25,0.001616098395363387,-1.0,1.2228645729738898,NONE
2008-03-26,-0.0003512140944177057,-1.0,1.2224350857002972,NONE
2008-03-27,0.0004304598693377231,-1.0,1.2229612949475615,NONE
2008-03-28,0.0008832978298079064,-1.0,1.2240415340053277,NONE
2008-03-31,0.0009195691548906123,-1.0,1.2251671248443041,NONE
2008-04-01,-0.000692533959379605,-1.0,1.224318655004434,NONE
2008-04-02,0.0008941919179581683,-1.0,1.2254134308507445,NONE
2008-04-03,0.0003480686059193173,-1.0,1.2258399587952957,NONE
2008-04-04,-0.0012956623815124383,-1.0,1.2242516840749298,NONE
2008-04-07,0.0,1.0,1.2242516840749298,NONE
2008-04-08,-0.0008291778790499537,-1.0,1.2232365616601053,NONE
2008-04-09,-0.0014538510568760103,1.0,1.2214581578921264,NONE
2008-04-10,0.0010869545747719997,1.0,1.2227858274247398,NONE
2008-04-11,-0.00217246492166451,1.0,1.220129368107951,NONE
2008-04-14,0.0003349248663314648,1.0,1.2205380197734716,NONE
2008-04-15,0.0004154158457953445,1.0,1.2210450506072812,NONE
2008-04-16,0.00038451476031562976,1.0,1.2215145604522502,NONE
2008-04-17,0.0007391350965148453,1.0,1.2224174247347843,NONE
2008-04-18,-0.0016122940322892444,1.0,1.220446528415918,NONE
2008-04-21,0.0002477658541346926,1.0,1.2207489133924567,NONE
2008-04-22,-6.53249355167685e-05,1.0,1.2206691680484072,NONE
2008-04-23,-0.00022988829228632137,1.0,1.220388550497918,NONE
2008-04-24,-0.00033630371284126565,1.0,1.2199781292972767,NONE
2008-04-25,0.0011878530024621327,1.0,1.2214272839811005,NONE
2008-04-28,0.00036688035917218373,1.0,1.2218754016617501,NONE
2008-04-29,-0.0018709728412834728,1.0,1.2195893059698086,NONE
2008-04-30,0.0004523088751786084,1.0,1.2201409370369718,NONE
2008-05-01,0.000448517658680596,1.0,1.220688191793312,NONE
2008-05-02,-0.0009388902334428115,1.0,1.2195420995719581,NONE
2008-05-05,0.0005717902242784057,1.0,1.2202394218225892,NONE
2008-05-06,0.0006026722190280423,1.0,1.2209748262226845,NONE
2008-05-07,0.0005883330593405877,1.0,1.2216931660775738,NONE
2008-05-08,-0.001613497603244595,1.0,1.2197219670822075,NONE
2008-05-09,0.0019192842861447193,1.0,1.2220629602870938,NONE
2008-05-12,-0.000979852027816965,1.0,1.2208655194173366,NONE
2008-05-13,-0.0011784344760509512,1.0,1.2194268093986333,NONE
2008-05-14,0.0009006281390473003,1.0,1.2205250594966865,NONE
2008-05-15,0.0007012225055399134,1.0,1.2213809191369809,NONE
2008-05-16,0.002123588324090397,1.0,1.2239746293961271,NONE
