Date,SPY,QQQ,IWV
1996-01-23,37.957199,,
1996-01-24,38.266182,,
1996-01-25,38.13102,,
1996-01-26,38.459305,,
1996-01-29,38.613804,,
1996-01-30,38.942085,,
1996-01-31,39.347652,,
1996-02-01,39.492489,,
1996-02-02,39.328316,,
1996-02-05,39.646988,,
1996-02-06,40.023563,,
1996-02-07,40.255302,,
1996-02-08,40.689808,,
1996-02-09,40.680161,,
1996-02-12,40.989155,,
1996-02-13,40.902245,,
1996-02-14,40.544956,,
1996-02-15,40.293919,,
1996-02-16,40.129772,,
1996-02-20,39.733887,,
1996-02-21,40.226322,,
1996-02-22,40.863613,,
1996-02-23,40.747749,,
1996-02-26,40.1684,,
1996-02-27,40.042854,,
1996-02-28,39.859409,,
1996-02-29,39.473175,,
1996-03-01,40.100803,,
1996-03-04,40.332527,,
1996-03-05,40.709114,,
1996-03-06,40.351868,,
1996-03-07,40.554615,,
1996-03-08,39.241432,,
1996-03-11,39.695267,,
1996-03-12,39.386261,,
1996-03-13,39.656631,,
1996-03-14,39.830444,,
1996-03-15,39.803669,,
1996-03-18,40.569893,,
1996-03-19,40.482578,,
1996-03-20,40.434093,,
1996-03-21,40.337105,,
1996-03-22,40.443794,,
1996-03-25,40.366199,,
1996-03-26,40.560158,,
1996-03-27,40.191616,,
1996-03-28,40.346794,,
1996-03-29,40.152836,,
1996-04-01,40.61837,,
1996-04-02,40.695969,,
1996-04-03,40.695969,,
1996-04-04,40.666893,,
1996-04-08,39.96854,,
1996-04-09,39.813362,,
1996-04-10,39.10535,,
1996-04-11,39.056858,,
1996-04-12,39.551498,,
1996-04-15,39.881264,,
1996-04-16,39.997639,,
1996-04-17,39.900661,,
1996-04-18,39.958855,,
1996-04-19,40.05584,,
1996-04-22,40.366199,,
1996-04-23,40.492294,,
1996-04-24,40.346794,,
1996-04-25,40.531059,,
1996-04-26,40.61837,,
1996-04-29,40.61837,,
1996-04-30,40.589272,,
1996-05-01,40.676563,,
1996-05-02,39.978256,,
1996-05-03,39.920059,,
1996-05-06,39.881264,,
1996-05-07,39.716396,,
1996-05-08,40.211029,,
1996-05-09,40.181938,,
1996-05-10,40.579567,,
1996-05-13,41.19059,,
1996-05-14,41.442757,,
1996-05-15,41.39426,,
1996-05-16,41.48156,,
1996-05-17,41.704628,,
1996-05-20,41.985878,,
1996-05-21,41.927708,,
1996-05-22,42.325344,,
1996-05-23,42.150757,,
1996-05-24,42.315647,,
1996-05-28,41.888897,,
1996-05-29,41.607628,,
1996-05-30,41.821014,,
1996-05-31,41.510658,,
1996-06-03,41.627037,,
1996-06-04,41.918007,,
1996-06-05,42.286552,,
1996-06-06,41.976185,,
1996-06-07,41.976185,,
1996-06-10,41.840416,,
1996-06-11,41.801609,,
1996-06-12,41.724026,,
1996-06-13,41.724026,,
1996-06-14,41.549446,,
1996-06-17,41.520367,,
1996-06-18,41.180882,,
1996-06-19,41.36517,,
1996-06-20,41.336063,,
1996-06-21,41.691589,,
1996-06-24,41.769611,,
1996-06-25,41.720844,,
1996-06-26,41.438107,,
1996-06-27,41.730614,,
1996-06-28,41.876862,,
1996-07-01,42.237606,,
1996-07-02,42.081608,,
1996-07-03,41.993843,,
1996-07-05,40.921352,,
1996-07-08,40.755589,,
1996-07-09,40.921352,,
1996-07-10,41.087097,,
1996-07-11,40.258327,,
1996-07-12,40.28759,,
1996-07-15,39.098064,,
1996-07-16,39.195568,,
1996-07-17,39.663574,,
1996-07-18,40.209576,,
1996-07-19,39.91708,,
1996-07-22,39.624557,,
1996-07-23,39.117569,,
1996-07-24,39.195568,,
1996-07-25,39.546574,,
1996-07-26,39.76107,,
1996-07-29,39.322323,,
1996-07-30,39.702572,,
1996-07-31,39.995071,,
1996-08-01,40.658092,,
1996-08-02,41.535606,,
1996-08-05,41.291851,,
1996-08-06,41.418598,,
1996-08-07,41.525864,,
1996-08-08,41.457584,,
1996-08-09,41.321102,,
1996-08-12,41.62336,,
1996-08-13,41.291851,,
1996-08-14,41.438107,,
1996-08-15,41.360107,,
1996-08-16,41.711102,,
1996-08-19,41.730614,,
1996-08-20,41.701359,,
1996-08-21,41.555096,,
1996-08-22,41.945118,,
1996-08-23,41.720844,,
1996-08-26,41.516083,,
1996-08-27,41.672096,,
1996-08-28,41.603863,,
1996-08-29,41.194332,,
1996-08-30,40.765327,,
1996-09-03,41.02861,,
1996-09-04,41.067589,,
1996-09-05,40.570335,,
1996-09-06,41.145603,,
1996-09-09,41.633091,,
1996-09-10,41.613598,,
1996-09-11,41.84761,,
1996-09-12,42.140118,,
1996-09-13,42.78363,,
1996-09-16,42.939617,,
1996-09-17,42.842113,,
1996-09-18,42.734863,,
1996-09-19,42.900627,,
1996-09-20,43.052795,,
1996-09-23,43.042992,,
1996-09-24,43.033215,,
1996-09-25,43.062588,,
1996-09-26,43.042992,,
1996-09-27,43.082203,,
1996-09-30,43.042992,,
1996-10-01,43.278214,,
1996-10-02,43.572205,,
1996-10-03,43.533001,,
1996-10-04,44.121021,,
1996-10-07,44.170021,,
1996-10-08,43.993656,,
1996-10-09,43.65062,,
1996-10-10,43.56242,,
1996-10-11,44.10144,,
1996-10-14,44.160229,,
1996-10-15,44.10144,,
1996-10-16,44.317047,,
1996-10-17,44.434643,,
1996-10-18,44.669846,,
1996-10-21,44.611069,,
1996-10-22,44.297421,,
1996-10-23,44.444439,,
1996-10-24,44.062244,,
1996-10-25,44.10144,,
1996-10-28,43.807419,,
1996-10-29,44.160229,,
1996-10-30,44.013218,,
1996-10-31,44.434643,,
1996-11-01,44.277828,,
1996-11-04,44.571857,,
1996-11-05,44.82666,,
1996-11-06,45.689068,,
1996-11-07,45.796883,,
1996-11-08,46.051693,,
1996-11-11,46.002697,,
1996-11-12,45.865498,,
1996-11-13,46.071304,,
1996-11-14,46.375141,,
1996-11-15,46.433914,,
1996-11-18,46.443676,,
1996-11-19,46.776924,,
1996-11-20,46.855316,,
1996-11-21,46.786713,,
1996-11-22,47.149338,,
1996-11-25,47.747177,,
1996-11-26,47.590336,,
1996-11-27,47.502155,,
1996-11-29,47.678581,,
1996-12-02,47.698143,,
1996-12-03,46.884716,,
1996-12-04,47.012127,,
1996-12-05,46.884716,,
1996-12-06,46.610298,,
1996-12-09,47.296337,,
1996-12-10,47.070915,,
1996-12-11,46.639717,,
1996-12-12,45.865498,,
1996-12-13,45.983097,,
1996-12-16,45.395081,,
1996-12-17,45.757698,,
1996-12-18,46.120296,,
1996-12-19,47.070915,,
1996-12-20,47.174229,,
1996-12-23,47.056053,,
1996-12-24,47.400734,,
1996-12-26,47.765118,,
1996-12-27,47.824219,,
1996-12-30,47.410572,,
1996-12-31,46.543919,,
1997-01-02,46.662102,,
1997-01-03,47.331799,,
1997-01-06,46.918159,,
